date;localidade;code;mass_g;size_mm;height_mm;class
27/03/2024;DESERTA;DS_C11;2.8;19.2;13.2;1
27/03/2024;DESERTA;DS_C12;2.1;17.4;14.1;1
27/03/2024;DESERTA;DS_C13;2.3;22;11.2;1
27/03/2024;DESERTA;DS_C14;1.4;15.7;13.1;1
27/03/2024;DESERTA;DS_C15;2.7;21.7;12.9;1
27/03/2024;DESERTA;DS_C16;2.1;12;10.5;1
27/03/2024;DESERTA;DS_C17;0.7;9.8;8.8;1
27/03/2024;DESERTA;DS_C18;2.3;18.4;12.4;1
27/03/2024;DESERTA;DS_C19;1.7;14.9;10.1;1
27/03/2024;DESERTA;DS_C110;1.7;13.3;11.4;1
04/04/2024;SACO D'AGUA;SD_C11;3.1;25.7;14.7;1
04/04/2024;SACO D'AGUA;SD_C12;2.5;20.7;11.7;1
04/04/2024;SACO D'AGUA;SD_C13;2.3;20.7;12.6;1
04/04/2024;SACO D'AGUA;SD_C14;5.1;26;20.2;1
04/04/2024;SACO D'AGUA;SD_C15;3.1;22.1;13.9;1
22/05/2024;ENGENHO;EG_C11;2.6;19.7;12.1;1
22/05/2024;ENGENHO;EG_C12;4.4;23.3;15.8;1
22/05/2024;ENGENHO;EG_C13;2.1;20.6;9.9;1
22/05/2024;ENGENHO;EG_C14;4.1;26.7;18.8;1
22/05/2024;ENGENHO;EG_C15;3.8;27.4;22.1;1
14/06/2024;FAROL;FR_C11;3.5;19.2;14.4;1
14/06/2024;FAROL;FR_C12;5.2;20.3;18.7;1
14/06/2024;FAROL;FR_C13;2.4;16.3;12.5;1
14/06/2024;FAROL;FR_C14;3.6;26.3;12.7;1
14/06/2024;FAROL;FR_C15;2.1;19.5;9.7;1
14/06/2024;FAROL;FR_C16;2.8;20.6;11.3;1
14/06/2024;FAROL;FR_C17;1.8;12.1;16.4;1
14/06/2024;FAROL;FR_C18;4.2;22.2;17.6;1
14/06/2024;FAROL;FR_C19;1.5;17.7;9.8;1
14/06/2024;FAROL;FR_C110;0.8;13.4;8.7;1
27/03/2024;DESERTA;DS_C21;4.8;21.3;14.7;2
27/03/2024;DESERTA;DS_C22;5.2;28.9;15.7;2
27/03/2024;DESERTA;DS_C23;6.2;28.8;15.8;2
27/03/2024;DESERTA;DS_C24;4.6;25.1;13.5;2
27/03/2024;DESERTA;DS_C25;3.4;19.4;12.5;2
27/03/2024;DESERTA;DS_C26;3.5;21.5;13.9;2
27/03/2024;DESERTA;DS_C27;6.5;28.5;15.9;2
27/03/2024;DESERTA;DS_C28;5.3;24.5;11.9;2
27/03/2024;DESERTA;DS_C29;3.2;20.4;11.2;2
27/03/2024;DESERTA;DS_C210;3.1;17;11.1;2
04/04/2024;SACO D'AGUA;SD_C21;3.7;23.5;16.4;2
04/04/2024;SACO D'AGUA;SD_C22;6.7;31.6;17;2
04/04/2024;SACO D'AGUA;SD_C23;9.2;27.7;21.7;2
04/04/2024;SACO D'AGUA;SD_C24;5.5;33.2;14.8;2
04/04/2024;SACO D'AGUA;SD_C25;4.6;30.1;15.9;2
22/05/2024;ENGENHO;EG_C21;8.4;27.3;15.8;2
22/05/2024;ENGENHO;EG_C22;9.1;30.2;15.7;2
22/05/2024;ENGENHO;EG_C23;11.5;37.3;25.9;2
22/05/2024;ENGENHO;EG_C24;11.3;36.6;15.3;2
22/05/2024;ENGENHO;EG_C25;17.1;37.1;21.2;2
14/06/2024;FAROL;FR_C21;12.3;42.8;14.6;2
14/06/2024;FAROL;FR_C22;10.4;38.4;14.4;2
14/06/2024;FAROL;FR_C23;8.4;35.4;13.9;2
14/06/2024;FAROL;FR_C24;13.3;41.2;22.3;2
14/06/2024;FAROL;FR_C25;10.9;34.6;18.5;2
14/06/2024;FAROL;FR_C26;19.2;43.7;17.4;2
14/06/2024;FAROL;FR_C27;14.6;44.4;14.9;2
14/06/2024;FAROL;FR_C28;13.7;42.4;18.5;2
14/06/2024;FAROL;FR_C29;10.6;38.8;15.7;2
14/06/2024;FAROL;FR_C210;16.7;42.2;25.4;2
04/10/2024;SACO D'AGUA;SD_C26;5.3;22.3;15.8;2
04/10/2024;SACO D'AGUA;SD_C27;4.9;28.4;14.3;2
04/10/2024;SACO D'AGUA;SD_C28;9.4;29.6;20.2;2
04/10/2024;SACO D'AGUA;SD_C29;7.7;28.8;14.6;2
04/10/2024;SACO D'AGUA;SD_C210;4.7;24.1;15.1;2
04/10/2024;SACO D'AGUA;SD_C211;4.6;27.3;13.9;2
04/10/2024;SACO D'AGUA;SD_C212;11.8;31.5;19.2;2
04/10/2024;SACO D'AGUA;SD_C213;12.1;31.7;20.3;2
04/10/2024;SACO D'AGUA;SD_C214;12.4;32.1;20.8;2
21/03/2024;ENGENHO;EG_C31;8.7;33.7;15.7;3
21/03/2024;ENGENHO;EG_C32;8.9;30;18.9;3
21/03/2024;ENGENHO;EG_C33;11;32.9;18.1;3
21/03/2024;ENGENHO;EG_C34;13.4;40.6;19.4;3
21/03/2024;ENGENHO;EG_C35;12.2;34.6;18.4;3
21/03/2024;ENGENHO;EG_C36;11.5;36.9;18.3;3
21/03/2024;ENGENHO;EG_C37;19.2;40.1;22.2;3
27/03/2024;DESERTA;DS_C31;14.8;34.9;22.6;3
27/03/2024;DESERTA;DS_C32;13.3;39.1;21;3
27/03/2024;DESERTA;DS_C33;6.2;27.4;16.6;3
27/03/2024;DESERTA;DS_C34;9.5;34.2;17.7;3
04/04/2024;SACO D'AGUA;SD_C31;21.1;58.7;22.7;3
04/04/2024;SACO D'AGUA;SD_C32;17.7;36.6;32.5;3
04/04/2024;SACO D'AGUA;SD_C33;8.8;33.5;17.6;3
04/04/2024;SACO D'AGUA;SD_C34;11.7;35;21.9;3
04/04/2024;SACO D'AGUA;SD_C35;20.8;44.6;23.8;3
22/05/2024;ENGENHO;EG_C38;13.4;42.5;18.2;3
22/05/2024;ENGENHO;EG_C39;11.8;58.5;15.6;3
22/05/2024;ENGENHO;EG_C310;15.7;48.8;15.5;3
22/05/2024;ENGENHO;EG_C311;17.1;45.1;19.7;3
14/06/2024;FAROL;FR_C31;19.6;52.9;19.6;3
14/06/2024;FAROL;FR_C32;18.3;45.3;22.5;3
14/06/2024;FAROL;FR_C33;25.2;46.4;21.2;3
14/06/2024;FAROL;FR_C34;28.1;52.4;17.7;3
14/06/2024;FAROL;FR_C35;41.8;57.4;23.1;3
14/06/2024;FAROL;FR_C36;20.9;52.2;15.7;3
14/06/2024;FAROL;FR_C37;21.8;48.8;17.7;3
14/06/2024;FAROL;FR_C38;20.1;54.1;17.5;3
14/06/2024;FAROL;FR_C39;24.1;51.4;18.6;3
14/06/2024;FAROL;FR_C310;15.4;53.6;17.2;3
04/10/2024;SACO D'AGUA;SD_C36;13.5;33.5;21.6;3
04/10/2024;SACO D'AGUA;SD_C37;13.7;34.2;21.9;3
04/10/2024;SACO D'AGUA;SD_C38;21.1;48.7;22.7;3
04/10/2024;SACO D'AGUA;SD_C39;17.7;36.6;21.5;3
04/10/2024;SACO D'AGUA;SD_C310;20.8;44.6;23.8;3
04/10/2024;SACO D'AGUA;SD_C311;12.9;32.1;21.1;3
04/10/2024;SACO D'AGUA;SD_C312;13.3;32.4;18.2;3
04/10/2024;SACO D'AGUA;SD_C313;14.6;32.9;22.8;3
04/10/2024;SACO D'AGUA;SD_C314;16.4;35.3;22.4;3
04/10/2024;SACO D'AGUA;SD_C315;21.6;46.8;24.5;3
04/10/2024;SACO D'AGUA;SD_C316;23.8;47.4;25.2;3
04/10/2024;SACO D'AGUA;SD_C317;13.6;32.1;20.2;3
04/10/2024;SACO D'AGUA;SD_C318;14.1;33.4;22.3;3
04/10/2024;SACO D'AGUA;SD_C319;18.6;36.7;23.1;3
04/10/2024;SACO D'AGUA;SD_C320;11.8;26.2;19.5;3
04/10/2024;SACO D'AGUA;SD_C321;22.6;49.2;23.4;3
21/03/2024;ENGENHO;EG_C41;29.8;52;22;4
21/03/2024;ENGENHO;EG_C42;31;48.1;32;4
21/03/2024;ENGENHO;EG_C43;32;60.1;23;4
21/03/2024;ENGENHO;EG_C44;24.5;47.3;21.8;4
21/03/2024;ENGENHO;EG_C45;23.5;52.4;16.5;4
21/03/2024;ENGENHO;EG_C46;24.6;45.9;19.5;4
21/03/2024;ENGENHO;EG_C47;30.1;54.3;18.5;4
27/03/2024;DESERTA;DS_C41;37.1;70.4;26.7;4
27/03/2024;DESERTA;DS_C42;22.3;15.6;24;4
27/03/2024;DESERTA;DS_C43;21.4;48;21.3;4
27/03/2024;DESERTA;DS_C44;32.1;57.9;21.5;4
04/04/2024;SACO D'AGUA;SD_C41;47.5;59.2;36;4
04/04/2024;SACO D'AGUA;SD_C42;23.8;48.7;25.7;4
04/04/2024;SACO D'AGUA;SD_C43;70;64.6;38.2;4
04/04/2024;SACO D'AGUA;SD_C44;35.4;59.4;30.6;4
04/04/2024;SACO D'AGUA;SD_C45;25.6;49.2;23.2;4
22/05/2024;ENGENHO;EG_C48;25.7;54.7;19.6;4
22/05/2024;ENGENHO;EG_C49;21.3;56.5;21.1;4
22/05/2024;ENGENHO;EG_C410;33.1;37.1;23.3;4
22/05/2024;ENGENHO;EG_C411;34.9;53.2;22.7;4
14/06/2024;FAROL;FR_C41;25.4;60.5;20.3;4
14/06/2024;FAROL;FR_C42;30.2;59.3;22.1;4
14/06/2024;FAROL;FR_C43;27.8;49.5;19.8;4
14/06/2024;FAROL;FR_C44;33.9;58.8;21.4;4
14/06/2024;FAROL;FR_C45;35.7;60.1;22.6;4
14/06/2024;FAROL;FR_C46;36.9;61.8;23.2;4
14/06/2024;FAROL;FR_C47;39.8;62.5;34.6;4
14/06/2024;FAROL;FR_C48;40.1;63.7;35.2;4
14/06/2024;FAROL;FR_C49;41.4;61.4;31.2;4
14/06/2024;FAROL;FR_C410;43.3;62.2;32.5;4
04/10/2024;SACO D'AGUA;SD_C46;48.1;61.2;34.3;4
04/10/2024;SACO D'AGUA;SD_C47;31.5;44.5;32.3;4
04/10/2024;SACO D'AGUA;SD_C48;39.8;66.7;39.4;4
04/10/2024;SACO D'AGUA;SD_C49;37.2;51.9;33.7;4
04/10/2024;SACO D'AGUA;SD_C410;30.4;47.3;29.5;4
21/03/2024;ENGENHO;EG_C51;38.1;57.5;25.4;5
21/03/2024;ENGENHO;EG_C52;46.1;63.2;25.8;5
21/03/2024;ENGENHO;EG_C53;78.7;48.6;30;5
21/03/2024;ENGENHO;EG_C54;46.5;60.1;22;5
21/03/2024;ENGENHO;EG_C55;54.3;60.9;27.3;5
21/03/2024;ENGENHO;EG_C56;62.2;57.6;42;5
27/03/2024;DESERTA;DS_C51;89.9;83.2;31.6;5
27/03/2024;DESERTA;DS_C52;50.7;59.1;29.2;5
22/05/2024;ENGENHO;EG_C57;55.7;66.8;26.7;5
22/05/2024;ENGENHO;EG_C58;52.8;46.7;25.3;5
